News Organization,Topic,Positive,Neutral,Negative
ABC,Israel,0.6878327471,0.3121672529,0
AP News,Israel,0,0.6482989063,0.3517010937
BBC,Israel,0.115354688,0.2242632174,0.6603820946
CBS,Israel,0.3086556493,0.6913443507,0
CNN,Israel,0.1893670134,0.7437079788,0.06692500786
Forbes,Israel,0.268192878,0.731807122,0
Fox News,Israel,0.469149323,0.530850677,0
MSNBC,Israel,0.3869727598,0.3963575262,0.2166697139
NBC,Israel,1,0,0
NYT,Israel,0.07645806273,0.4560140559,0.4675278814
NPR,Israel,0.1201837881,0.5269122496,0.3529039623
NY Post,Israel,1,0,0
PBS,Israel,0,0.8302281786,0.1697718214
USA Today,Israel,0.2803675763,0.6460847987,0.07354762501
WSJ,Israel,0.09511870618,0.5903005494,0.3145807444
Washington Post,Israel,0,0.6800553155,0.3199446845
ABC,Venezuela,0.145827113,0.6548768052,0.1992960818
AP News,Venezuela,0,0.3489360241,0.6510639759
BBC,Venezuela,0,0.5103362737,0.4896637263
CBS,Venezuela,0,0.6218509093,0.3781490907
CNN,Venezuela,0,0.8589578663,0.1410421337
Forbes,Venezuela,0,0.6674141407,0.3325858593
Fox News,Venezuela,0,0.8544492579,0.1455507421
MSNBC,Venezuela,0,0.8903863758,0.1096136242
NBC,Venezuela,0.2150166144,0.6466175675,0.1383658181
NPR,Venezuela,0,0.8244463467,0.1755536533
NY Post,Venezuela,0.09976045965,0.4403467971,0.4598927432
NYT,Venezuela,0.07287292733,0.7034908569,0.2236362158
PBS,Venezuela,0,0.3321106639,0.6678893361
USA Today,Venezuela,0,0.6205590216,0.3794409784
Washington Post,Venezuela,0,0.9371370965,0.06286290348
WSJ,Venezuela,0.09907361314,0.6185965655,0.2823298214
